manual_keys,index_column,en,cs,fr,de,generated_keys,best_match_performed,best_match_found,en_copy,best_match_matchedTranslation,best_match_rating,best_match_keys,best_match_in_not_found
dict.values.passion.description,226,"It's said that a person without passion is a lost soul. It makes a big difference that no matter what it is, if you have passion for it, you must just go for it. Showing true enthusiasm, is the highest level of authenticity. Whether it's writing, sports, music or collecting different things, when you have a passion for something that positively feeds you, then spending a regular portion of your day towards it, is essential. Practicing what you're passionate about brings your mind into flow and when you stay focused, you'll perform at your very best. This act of doing something meaningful has two positives - first you can be pleased with the progress and the outcome, second you'll enjoy what you're doing. So keep doing it :-)","Říká se, že člověk bez vášně je ztracená duše. Když se Vám do svého počínání podaří dát vášeň, bez ohledu na to, o co jde, je v tom potom obrovský rozdíl. Ukázat skutečné nadšení je nejvyšší úroveň autentičnosti. Ať už jde o psaní, sport, hudbu nebo shromažďování různých věcí. Ať už máte vášeň pro cokoliv, je dobré tomu vymezit pravidelně část svého dne. Věnování se tomu, pro co máte vášeň, dostává Vaši mysl do stavu ""flow"". V takových chvílích jste maximálně soustředěni a můžete v dané činnosti podávat ty nejlepší výkony. Tato činnost je pak smysluplná a má pro Vás další pozitiva. Jednak můžete mít radost z výsledků a pokroku, a za druhé si takovou činnost užíváte. Tak v tom směle pokračujte. :-)","On dit qu'une personne sans passion est une âme perdue. Cela fait une grande différence, si vous avez une passion, vous devez tout simplement la suivre. Montrer un véritable enthousiasme est le plus haut niveau d'authenticité. Qu'il s'agisse d'écrire, de sport, de musique ou de collectionner différentes choses, lorsque vous avez une passion pour quelque chose qui vous comble positivement, alors vous devez y consacrer une partie régulière de votre journée, c'est essentiel. Pratiquer votre passion apporte à votre esprit une dynamique et si vous restez concentré, vous excellerez en la matière. Cet acte de faire quelque chose de significatif a deux points positifs - tout d'abord, vous pouvez être satisfait de vos progrès et du résultat, ensuite, vous apprécierez ce que vous faites. Alors continuez ainsi :-)","Es heißt, dass ein Mensch ohne Leidenschaft eine verlorene Seele ist. Es macht einen großen Unterschied, dass man, egal was es ist, wenn man Leidenschaft dafür hat, es einfach angehen muss. Echte Begeisterung zu zeigen, ist die höchste Stufe der Authentizität. Ob es nun das Schreiben, der Sport, die Musik oder das Sammeln verschiedener Dinge ist, wenn Sie eine Leidenschaft für etwas haben, das Sie positiv erfüllt, dann ist es wichtig, dass Sie einen regelmäßigen Teil Ihres Tages dafür aufwenden. Wenn Sie das tun, wofür Sie eine Leidenschaft haben, kommt Ihr Geist in Schwung, und wenn Sie sich darauf konzentrieren, werden Sie Ihre besten Leistungen erbringen. Etwas Sinnvolles zu tun, hat zwei positive Aspekte: Erstens können Sie sich über den Fortschritt und das Ergebnis freuen, und zweitens macht Ihnen das, was Sie tun, Spaß. Also machen Sie weiter :-)",,Performed,Found,"It's said that a person without passion is a lost soul. It makes a big difference that no matter what it is, if you have passion for it, you must just go for it. Showing true enthusiasm, is the highest level of authenticity. Whether it's writing, sports, music or collecting different things, when you have a passion for something that positively feeds you, then spending a regular portion of your day towards it, is essential. Practicing what you're passionate about brings your mind into flow and when you stay focused, you'll perform at your very best. This act of doing something meaningful has two positives - first you can be pleased with the progress and the outcome, second you'll enjoy what you're doing. So keep doing it :-)","It's said that a person without passion is a lost soul. It makes a big difference that no matter what it is, if you have passion for it, you must just go for it. Showing true enthusiasm, is the highest level of authenticity. Whether it's writing, sports, music or collecting different things, when you've a passion for something that positively feeds you, then spending a regular portion of your day with this, is essential. Practicing what you're passionate about brings your mind into flow and when you stay focused, you'll perform at your very best. This act of doing something meaningful has two positives - first you can be pleased with the progress and the outcome, second you'll enjoy what you're doing. So keep doing it :-)",0.9818181818181818,dict.values.passion.description,
,227,"It takes strong will and self-control to wait for something to happen. Usually, the more important something is for you, the more patient you are. Yet, there are some people who want something to happen and just can't wait for it. It's important for you to understand that everything needs its time. People who value patience are most likely calm, wise and perhaps experienced human beings. You have something to show and teach immature people around you. Have patience with their lack of patience :-).","Je potřeba silné vůle a sebekontroly vydržet, než se něco podaří. Obvykle, čím důležitější pro Vás něco je, tím trpělivější jste. Přesto jsou lidé, kteří by nejraději měli věci hned a prostě na to nemohou čekat. Je důležité, abyste pochopili, že všechno potřebuje svůj čas. Lidé, kteří si cení trpělivosti, jsou s největší pravděpodobností klidní, moudří a často zkušené lidské bytosti. Vy máte co ukázat a máte možnost toho využít a učit nezralé lidi. Mít trpělivost s jejich nedostatkem trpělivosti :-).","Il faut une forte volonté et une maîtrise de soi pour attendre que quelque chose se produise. Habituellement, plus quelque chose compte pour vous, plus vous êtes patient. Pourtant, il y a des gens qui veulent que les choses se passent et qui ne peuvent tout simplement pas attendre. Il est important pour vous de comprendre que chaque chose en son temps. Les gens qui apprécient la patience sont très probablement calmes, posés et peut-être des êtres humains expérimentés. Vous avez quelque chose à montrer et à enseigner aux gens immatures autour de vous. Avoir de la patience avec leur manque de patience :-).","Es erfordert einen starken Willen und Selbstbeherrschung, um auf etwas zu warten. Je wichtiger etwas für Sie ist, desto geduldiger sind Sie normalerweise. Es gibt aber auch Menschen, die etwas unbedingt wollen und es einfach nicht abwarten können. Es ist wichtig für Sie zu verstehen, dass alles seine Zeit braucht. Menschen, die Geduld schätzen, sind höchstwahrscheinlich ruhige, weise und vielleicht erfahrene Menschen. Sie haben den unreifen Menschen um Sie herum etwas zu zeigen und beizubringen. Haben Sie Geduld mit deren Mangel an Geduld :-).",dict.values.patience.description,,,"It takes strong will and self-control to wait for something to happen. Usually, the more important something is for you, the more patient you are. Yet, there are some people who want something to happen and just can't wait for it. It's important for you to understand that everything needs its time. People who value patience are most likely calm, wise and perhaps experienced human beings. You have something to show and teach immature people around you. Have patience with their lack of patience :-).",,,,
dict.values.patriotism.description,228,"To value Patriotism means you are devoted to your country. You feel proud hearing about the achievements of the people of your country both in the past, and present. It brings a feeling of belonging to a huge tradition to which you can contribute. There are wise statements in many constitutions. We must all fight for equality, protect those who can't protect themselves, giving opportunity to everyone.  The world will be a much better place when we follow these values. ","Hodnota vlastenectví znamená, že jste oddaní své zemi. Cítíte se hrdí, když slyšíte o úspěších lidí z Vaší země v minulosti i přítomnosti. Vlastenectví přináší pocit sounáležitosti k obrovské tradici, ke které můžete přispět. V mnoha ústavách jsou moudrá prohlášení. Všichni musíme bojovat za rovnost, chránit ty, kteří se nemohou chránit, a dávat příležitost všem. Svět bude mnohem lepším místem, když budeme uchovávat tyto hodnoty.","La valeur du patriotisme signifie que vous êtes dévoué à votre pays. Vous êtes fier d'entendre parler des réalisations des habitants de votre pays que ce soit du passé et du présent. Il apporte un sentiment d'appartenance à une énorme tradition à laquelle vous pouvez contribuer. Il existe de sages déclarations dans de nombreuses constitutions. Nous devons tous nous battre pour l'égalité, protéger ceux qui ne peuvent pas se protéger, créant des opportunités à tout le monde. Le monde sera un bien meilleur endroit lorsque nous suivrons ces valeurs.","Patriotismus bedeutet, dass Sie Ihrem Land treu ergeben sind. Sie sind stolz, wenn Sie von den Errungenschaften der Menschen in Ihrem Land hören, sowohl in der Vergangenheit als auch in der Gegenwart. Es gibt einem das Gefühl, zu einer großen Tradition zu gehören, zu der man einen Beitrag leisten kann. In vielen Verfassungen finden sich weise Aussagen. Wir müssen alle für die Gleichheit kämpfen, diejenigen schützen, die sich nicht selbst schützen können, und jedem eine Chance geben.  Die Welt wird ein viel besserer Ort sein, wenn wir diese Prinzipien befolgen.",,Performed,Found,"To value Patriotism means you are devoted to your country. You feel proud hearing about the achievements of the people of your country both in the past, and present. It brings a feeling of belonging to a huge tradition to which you can contribute. There are wise statements in many constitutions. We must all fight for equality, protect those who can't protect themselves, giving opportunity to everyone.  The world will be a much better place when we follow these values. ","To value Patriotism means you are devoted to your country. You feel proud hearing about the achievements of the people of your country both in the past, and present. It brings a feeling of belonging to a huge tradition to which you can contribute. There are wise statements in many constitutions. We must all fight for equality, protect those who can't protect themselves, giving opportunity to everyone. The world will be a much better place when we follow these values.",1,dict.values.patriotism.description,
dict.values.peace.description,229,"There is a lot of stress in our lives and therefore it's very important to find a time for rest and peace. First of all - a regular and sufficient sleep schedule is essential and we ought to consider it as a must. To experience peace improves our ability to focus our mind, and improves our relationships. Moreover, peace enables us to enjoy happiness. So what are we waiting for? :-)","V našich životech je hodně stresu, a proto je velmi důležité najít čas na odpočinek a klid. Co je klíčové, to je pravidelný a dostatečný spánek, který je nezbytný a měli bychom ho považovat za nutnost. Možnost být v klidu zlepšuje naši schopnost soustředit naši mysl a zlepšuje naše vztahy. Klid nám navíc umožňuje užívat si štěstí. Na co tedy čekáme? :-)","Il y a beaucoup de stress dans nos vies et c'est pourquoi il est très important de trouver des temps de repos et de calme. Tout d'abord - des horaires de sommeil réguliers et suffisants sont essentiels et nous devons considérer cela comme un devoir. Être au calme améliore notre capacité à nous concentrer et améliore nos relations. De plus, le calme nous permet de profiter du bonheur. Alors qu'attendons-nous? :-)","In unserem Leben herrscht viel Stress, und deshalb ist es sehr wichtig, Zeit für Ruhe und Erholung zu finden. Zunächst einmal ist ein regelmäßiger und ausreichender Schlafrhythmus unerlässlich und wir sollten ihn als ein Muss betrachten. Ruhe zu erfahren, verbessert unsere Fähigkeit, uns zu konzentrieren, und verbessert unsere Beziehungen. Außerdem ermöglicht uns der Frieden, das Glück zu genießen. Worauf warten wir also noch? :-)",,Performed,Found,"There is a lot of stress in our lives and therefore it's very important to find a time for rest and peace. First of all - a regular and sufficient sleep schedule is essential and we ought to consider it as a must. To experience peace improves our ability to focus our mind, and improves our relationships. Moreover, peace enables us to enjoy happiness. So what are we waiting for? :-)","There is a lot of stress in our lives and therefore it's very important to find a time for rest and peace. First of all - a regular and sufficient sleep is essential and we ought to consider it as a must. To experience peace improves our ability to focus our mind, and improves our relationships. Moreover, peace enables us to enjoy happiness. So what are we waiting for? :-)",0.9838187702265372,dict.values.peace.description,
dict.values.performance.description,230,"Striving for excellence helps your confidence. It's a continuous circle. When you deliver quality work, usually you get positive feedback which pushes you to do a good job, again and again. Be the best you can possibly be. Don't be satisfied with only what is expected of you. Set the bar higher, and go beyond that. It's easier to go along with the average. It's much more challenging to rise higher and perform with increased quality and excellence. People are remembered not because of their mediocrity in life, but for their extraordinary and excellent achievements.","Snaha o dokonalost pomáhá Vaší důvěře. Je to nepřetržitý kruh. Když dodáváte kvalitní práci, obvykle získáte pozitivní zpětnou vazbu, která Vás nutí k tomu, abyste znovu a znovu udělali dobrou práci. Buďte tím nejlepším, čím můžete být. Nebuďte jen spokojeni s tím, co se od Vás očekává. Nastavte si laťku výše a jděte nad ni. Je snazší jít s průměrem. Je mnohem náročnější stoupat výš a vykonávat kvalitnější a dokonalejší práci. Na lidi se nevzpomíná pro jejich průměrnost, ale pro jejich mimořádnost.","Les efforts à atteindre l'excellence nous aide dans notre confiance en nous. C'est un cercle vertueux. Lorsque vous fournissez un travail de qualité, vous obtenez généralement des retours positifs qui vous poussent à continuer à faire du bon travail, encore et encore. Soyez le meilleur que vous puissiez être. Ne vous contentez juste du nécessaire. Placez la barre plus haut et dépassez là. Il est plus facile d'être dans la moyenne. Il est beaucoup plus difficile de se dépasser et de fonctionner avec qualité et excellence. On ne se rappelle pas des gens pour leur médiocrité, mais pour leurs capacités extraordinaires et leur excellence.","Das Streben nach Spitzenleistungen stärkt Ihr Selbstvertrauen. Es ist ein ständiger Kreislauf. Wenn Sie gute Arbeit abliefern, erhalten Sie in der Regel positives Feedback, das Sie anspornt, immer wieder gute Arbeit zu leisten. Seien Sie der Beste, der Sie sein können. Geben Sie sich nicht mit dem zufrieden, was von Ihnen erwartet wird. Legen Sie die Messlatte höher, und gehen Sie darüber hinaus. Es ist einfacher, mit dem Durchschnitt mitzuhalten. Es ist viel schwieriger, die Messlatte höher zu legen und mehr Qualität und Spitzenleistungen zu erbringen. Menschen bleiben nicht wegen ihrer Mittelmäßigkeit im Leben in Erinnerung, sondern wegen ihrer außergewöhnlichen und hervorragenden Leistungen.",,Performed,Found,"Striving for excellence helps your confidence. It's a continuous circle. When you deliver quality work, usually you get positive feedback which pushes you to do a good job, again and again. Be the best you can possibly be. Don't be satisfied with only what is expected of you. Set the bar higher, and go beyond that. It's easier to go along with the average. It's much more challenging to rise higher and perform with increased quality and excellence. People are remembered not because of their mediocrity in life, but for their extraordinary and excellent achievements.","Striving for excellence helps your confidence. It's a continuous circle. When you deliver quality work, usually you get positive feedback which pushes you to do a good job, again and again. Be the best you can possibly be. Don't be just be satisfied with what is expected of you. Set the bar higher, and go beyond that. It's easier to go along with the average. It's much more challenging to rise higher and perform with increased quality and excellence. People are remembered not because of their mediocrity in life, but for their extraordinary and excellent achievements.",0.9873949579831933,dict.values.performance.description,
,231,"You don't like to sit in the corner, do you? Having influence on something or someone is what drives you. Power doesn't need to be associated only with something negative. Only with certain power you're able to accomplish significant objectives, like in an organization. Only people who have certain levels of power make decisions which impact many others. It's a wise decision to invest in developing the skill of power. The more skillful you are, the more chances you'll have to sell your vision and ideas.","Nejste těmi, kteří sedí v koutě, že? Mít vliv na něco nebo někoho je to, co Vás vede. Vliv nemusí být spojován jen v negativní konotaci. Pouze s určitým vlivem můžete dosáhnout významných cílů. Pouze lidé, kteří mají určitou úroveň vlivu mohou dělat rozhodnutí, která ovlivňuji jiné. Je to moudré rozhodnutí investovat do svého rozvoje dovedností ovlivňování. Čím dovednější budete, tím snázeji prosadíte světu svou vizi a nápady.","Vous n'aimez pas être assis dans un coin, n'est-ce pas? Avoir une influence sur quelque chose ou quelqu'un est ce qui vous motive. Le pouvoir n'a pas besoin d'être associé uniquement à quelque chose de négatif. Ce n'est qu'avec une certaine puissance que vous êtes en mesure d'atteindre des objectifs importants. Seules les personnes qui ont un certain niveau de pouvoir prennent des décisions qui ont un impact sur beaucoup d'autres. C'est une sage décision d'investir dans le développement de ses capacités à avoir du pouvoir. Plus vous êtes doué plus vous aurez de chances de faire passer votre vision et vos idées.","Sie mögen es nicht, in der Ecke zu sitzen, oder? Einfluss auf etwas oder jemanden zu haben, ist das, was Sie antreibt. Macht muss nicht nur mit etwas Negativem verbunden sein. Nur mit einer gewissen Macht kann man wichtige Ziele erreichen, zum Beispiel in einer Organisation. Nur Menschen, die ein gewisses Maß an Macht haben, treffen Entscheidungen, die sich auf viele andere auswirken. Es ist eine kluge Entscheidung, in die Entwicklung der Fähigkeit zur Macht zu investieren. Je geschickter Sie sind, desto mehr Chancen haben Sie, Ihre Visionen und Ideen zu verkaufen.",dict.values.power.description,,,"You don't like to sit in the corner, do you? Having influence on something or someone is what drives you. Power doesn't need to be associated only with something negative. Only with certain power you're able to accomplish significant objectives, like in an organization. Only people who have certain levels of power make decisions which impact many others. It's a wise decision to invest in developing the skill of power. The more skillful you are, the more chances you'll have to sell your vision and ideas.",,,,
dict.values.relationships.description,232,"The most priceless thing a person can have.. is someone else, who regardless of how often they connect, they know they can turn to for help and support, when most needed. Obviously, this ideally works both ways. The people who have relationships built on trust and understanding, enjoy one of the biggest values which human beings can have.... a true authentic relationship. Healthy relationships contribute to wellbeing, and happier and healthier lives. Don't forget: ""Shared joy is double joy, shared sorrow is half a sorrow.""","Tou nejcennější věcí, kterou člověk může mít je...jistá osoba. Ta, která je pro Vás kdykoliv podporou a ku pomoci, bez ohledu na to, jak často jste ve spojení, Ta, u které to v ideálním případě funguje oběma směry. Lidé, kteří mají vztahy postavené na důvěře a porozumění, si užívají jednu z největších hodnot, které mohou mít lidské bytosti - skutečný vztah. Zdravé vztahy přispívají k blahobytu a šťastnějšímu a zdravějšímu životu. Nezapomeňte: „Sdílená radost je dvojitá radost, sdílený smutek je půl zármutku.“","La chose la plus inestimable qu'une personne puisse avoir .. est quelqu'un qui, quelle que soit la fréquence à laquelle ils se voient, vers qui pouvoir se tourner pour de l'aide et du soutien, quand cela est le plus nécessaire. De toute évidence, cela fonctionne idéalement dans les deux sens. Les personnes qui ont des relations construites sur la confiance et la compréhension, jouissent d'une des plus grandes valeurs que les êtres humains peuvent avoir ... une véritable relation. Des relations saines contribuent au bien-être et à des vies plus heureuses et plus saines. N'oubliez pas : ""La joie partagée est une double joie, le chagrin partagé est un demi-chagrin.""","Das Unbezahlbarste, was ein Mensch haben kann, ist eine andere Person, von der er weiß, dass er sich an sie wenden kann, wenn er Hilfe und Unterstützung braucht, unabhängig davon, wie oft er sie trifft. Natürlich funktioniert das im Idealfall in beide Richtungen. Menschen, deren Beziehungen auf Vertrauen und Verständnis beruhen, genießen einen der größten Schätze, die ein Mensch haben kann: .... eine echte, authentische Beziehung. Gesunde Beziehungen tragen zum Wohlbefinden und zu einem glücklicheren und gesünderen Leben bei. Vergessen Sie nicht: "" Geteilte Freude ist doppelte Freude, geteilter Kummer ist halber Kummer.""",,Performed,Found,"The most priceless thing a person can have.. is someone else, who regardless of how often they connect, they know they can turn to for help and support, when most needed. Obviously, this ideally works both ways. The people who have relationships built on trust and understanding, enjoy one of the biggest values which human beings can have.... a true authentic relationship. Healthy relationships contribute to wellbeing, and happier and healthier lives. Don't forget: ""Shared joy is double joy, shared sorrow is half a sorrow.""","The most priceless thing a person can have.. is someone else, who regardless of how often they connect, they know they can turn to for help and support, when most needed. Obviously, this ideally works both ways. The people who have relationships built on trust and understanding, enjoy one of the biggest values which human beings can have - true relationship. Healthy relationships contribute to wellbeing, and happier and healthier lives. Don't forget: ""Shared joy is double joy, shared sorrow is half a sorrow.""",0.9782359679266895,dict.values.relationships.description,
dict.values.reliability.description,233,"To value reliability means it feels natural for you to back up what you say and follow through with actions, or maybe you had a bad experience with someone in the past. Yet, it's not just about that. It's crucial to do it in the right way, as well. Being reliable means you need to build trust in other people, too. Being truthful is a good start. Promised things have to be done on time. If it's not possible, then clear communication is a must. Then, everyone is aware of what's happening and doubts are gone. When someone wants to be seen as reliable, he or she needs to be authentic, period. ","Vážit si hodnoty spolehlivosti znamená, že je pro Vás přirozené stát za tím, co říkáte. Přesto to není jen o tom. Je důležité to udělat také správným způsobem. Být spolehlivý znamená, že musíte také budovat důvěru u jiných lidí. Být pravdivý je dobrý začátek. Slibované věci musí být provedeny včas. Pokud to není možné, pak je jasná komunikace nutností. Potom si jsou všichni vědomi toho, co se děje, a pochybnosti jsou pryč. Když někdo chce být považován za spolehlivého, musí být autentický.","Pour apprécier la fiabilité, il vous semble naturel de défendre ce que vous dites et de suivre avec des actions, ou peut-être que vous avez vécu une mauvaise expérience avec quelqu'un dans le passé. Pourtant, ce n'est pas seulement cela. Il est également crucial de le faire de la bonne manière. Être fiable signifie que vous devez également renforcer votre confiance dans les autres personnes. Être confiant est un bon début. Les choses promises doivent être faites à temps. Si ce n'est pas possible, une communication claire est une obligation. Ensuite, tout le monde est conscient de ce qui se passe et les doutes disparaissent. Quand quelqu'un veut être considéré comme fiable, il doit être vrai, un point c'est tout.","Verlässlichkeit zu schätzen bedeutet, dass es für Sie selbstverständlich ist, hinter dem zu stehen, was Sie sagen, und dem auch Taten folgen zu lassen, oder vielleicht haben Sie in der Vergangenheit schlechte Erfahrungen mit jemandem gemacht. Aber es geht nicht nur darum. Es kommt auch darauf an, es auf die richtige Weise zu tun. Zuverlässig zu sein bedeutet, dass man auch Vertrauen zu anderen Menschen aufbauen muss. Wahrhaftigkeit ist ein guter Anfang. Versprochene Dinge müssen pünktlich erledigt werden. Wenn das nicht möglich ist, ist eine klare Kommunikation ein Muss. Dann weiß jeder, was Sache ist, und Zweifel sind ausgeräumt. Wenn jemand als verlässlich gelten will, muss er oder sie authentisch sein, Punkt.",,Performed,Found,"To value reliability means it feels natural for you to back up what you say and follow through with actions, or maybe you had a bad experience with someone in the past. Yet, it's not just about that. It's crucial to do it in the right way, as well. Being reliable means you need to build trust in other people, too. Being truthful is a good start. Promised things have to be done on time. If it's not possible, then clear communication is a must. Then, everyone is aware of what's happening and doubts are gone. When someone wants to be seen as reliable, he or she needs to be authentic, period. ","To value reliability means it feels natural to you to back up what you say and follow through, or maybe you had a bad experience with someone in the past. Yet, it's not just about that. It's crucial to do it in the right way, as well. Being reliable means you need to build trust in other people, too. Being truthful is a good start. Promised things have to be done on time. If it's not possible, then clear communication is a must. Then, everyone is aware of what's happening and doubts are gone. When someone wants to be seen as reliable, he or she needs to be authentic, period.",0.9790356394129979,dict.values.reliability.description,
dict.values.success.description,234,"There's no doubt, success is important in our lives. It drives us, gives us confidence, motivation, and an overall sense of wellbeing. When we succeed, our brain triggers a surge of dopamine - a chemical reaction which fills us with warmth and happiness. We must set a few reachable daily goals, so we can enjoy the feeling of success - from making the bed in the morning to doing something good for the mind, body and soul. Daily. Don't be afraid to set more challenging and time consuming, yet meaningful, goals for yourself. The more challenging the goal is, the better the outcome tastes. Once reached, you'll look back and be proud of yourself. Trust in the journey and you will reach the destination. ","Není pochyb o tom, že úspěch je v našich životech důležitý. Vede nás, dává nám sebevědomí, motivaci, pocit pohody. Když uspějeme, náš mozek spustí nárůst dopaminu - chemickou reakci, která nás naplňuje teplem a štěstím. Je dobré si stanovit několik dosažitelných denních cílů, abychom si mohli pravidelně užít pocit úspěchu - od těch malých jako například ustlat si ráno postel, po ty větší, které dopřejí naší mysli a tělu. Denně. A nebojte se stanovit si pro sebe i časově náročnější, přesto však smysluplné cíle. Čím náročnější je dosažený cíl, tím lépe pak výsledek chutná. Jakmile jej dosáhnete, můžete se ohlédnout a být na sebe hrdí.","Il n'en fait aucun doute, le succès est important dans nos vies. Cela nous guide, nous donne confiance, nous motive et nous procure un sentiment général de bien-être. Lorsque nous réussissons, notre cerveau déclenche une poussée de dopamine - une réaction chimique qui nous remplit de chaleur et de bonheur. Nous devons nous fixer quotidiennement des objectifs atteignables, afin que nous puissions profiter de la sensation de succès - que ce soit en commençant par faire notre lit le matin jusqu' à faire quelque chose de bien pour notre esprit, notre corps et notre âme. Chaque jour. N'ayez pas peur de vous fixer vos propres objectifs plus difficiles et longs à atteindre, mais significatifs. Plus l'objectif est difficile, plus son atteinte est savoureuse. Une fois atteint, vous regardez en arrière et êtes fier de vous. Faites confiance au chemin à parcourir et vous atteindrez la destination.","Es besteht kein Zweifel, dass Erfolg in unserem Leben wichtig ist. Er treibt uns an, gibt uns Selbstvertrauen, Motivation und ein allgemeines Gefühl des Wohlbefindens. Wenn wir erfolgreich sind, löst unser Gehirn eine Welle von Hormonen (Dopamin) aus - eine chemische Reaktion, die uns mit Wärme und Glück erfüllt. Wir müssen uns täglich ein paar erreichbare Ziele setzen, damit wir das Gefühl des Erfolgs genießen können - vom morgendlichen Bettenmachen bis hin dazu, etwas Gutes für Geist, Körper und Seele zu tun. Täglich. Scheuen Sie sich nicht, sich anspruchsvollere und zeitaufwändigere, aber dennoch sinnvolle Ziele zu setzen. Je anspruchsvoller das Ziel ist, desto besser schmeckt das Ergebnis. Sobald Sie es erreicht haben, werden Sie zurückblicken und stolz auf sich sein. Vertrauen Sie auf die Reise und Sie werden das Ziel erreichen.",,Performed,Found,"There's no doubt, success is important in our lives. It drives us, gives us confidence, motivation, and an overall sense of wellbeing. When we succeed, our brain triggers a surge of dopamine - a chemical reaction which fills us with warmth and happiness. We must set a few reachable daily goals, so we can enjoy the feeling of success - from making the bed in the morning to doing something good for the mind, body and soul. Daily. Don't be afraid to set more challenging and time consuming, yet meaningful, goals for yourself. The more challenging the goal is, the better the outcome tastes. Once reached, you'll look back and be proud of yourself. Trust in the journey and you will reach the destination. ","There's no doubt, success is important in our lives. It drives us, gives us confidence, motivation, a sense of wellbeing. When we succeed, our brain triggers a surge of dopamine - a chemical reaction which fills us with warmth and happiness. We must set a few reachable daily goals, so we can enjoy the feeling of success - from making the bed in the morning to doing something good for mind and body. Daily. And don't be afraid to set harder and more time consuming, yet meaningful, goals for yourself. The more challenging the goal is, the better the outcome tastes. Once reached, you'll look back and be proud of yourself.",0.916058394160584,dict.values.success.description,
dict.values.teamwork.description,235,"Sure, you can contribute to something good as an individual, yet being part of a working team where one member adds value to another, that's when something incredible happens. It's great that you believe in it! The importance of teamwork cannot be stressed enough. It provides great learning opportunities - not just for work related knowledge but also for understanding people's' psychology. Working in a team can help increase momentum, leading to greater efficiency, ideas and innovation!","Jistě, můžete přispět k něčemu dobrému jako jednotlivec. Ale být součástí týmu, kde jeden člen přidává hodnotu jinému, to jsou situace, které vedou k výjimečným výsledkům. A je skvělé, že tomu věříte! Význam týmové práce je nenahraditelný. Ta poskytuje skvělé příležitosti k učení - nejen pro znalosti související s prací, ale také pro pochopení psychologie lidí. Práce v týmu může pomoci zvýšit dynamiku, což vede k větší efektivitě, nápadům a inovacím!","Bien sûr, vous pouvez contribuer à quelque chose de bien en tant qu'individu, mais tout en faisant partie d'une équipe où chaque membre ajoute de la valeur à l'autre, c'est à ce moment-là que quelque chose d'incroyable se produit. C'est génial d'y croire! L'importance du travail d'équipe ne peut pas être suffisamment acclamé. Cela offre de grandes opportunités d'apprentissage - pas seulement dans les connaissances liées au travail, mais aussi pour comprendre la psychologie des gens. Travailler dans une équipe peut aider à accroître la dynamique, conduisant à une plus grande efficacité, à plus d'idées et d'innovations!","Sicher, man kann als Einzelner zu etwas Gutem beitragen, aber wenn man Teil eines Arbeitsteams ist, in dem ein Mitglied für ein anderes einen Mehrwert schafft, dann passiert etwas Unglaubliches. Es ist toll, dass Sie daran glauben! Die Bedeutung von Teamarbeit kann nicht genug betont werden. Sie bietet großartige Lernmöglichkeiten - nicht nur für arbeitsbezogenes Wissen, sondern auch für das Verständnis der Psychologie der Menschen. Die Arbeit im Team kann dazu beitragen, die Dynamik zu erhöhen, was zu mehr Effizienz, Ideen und Innovation führt!",,Performed,Found,"Sure, you can contribute to something good as an individual, yet being part of a working team where one member adds value to another, that's when something incredible happens. It's great that you believe in it! The importance of teamwork cannot be stressed enough. It provides great learning opportunities - not just for work related knowledge but also for understanding people's' psychology. Working in a team can help increase momentum, leading to greater efficiency, ideas and innovation!","Sure, you can contribute to something good as an individual, yet being part of a working team where one member adds value to another, that's when something incredible happens. And, it's great you believe in it! The importance of teamwork cannot be stressed enough. It provides great learning opportunities - not just for work related knowledge but also for understanding people's' psychology. Working in a team can help increase momentum, leading to greater efficiency, ideas and innovation!",0.9855072463768116,dict.values.teamwork.description,
